settlement_id,order_id,gross_amount,fee,tax,net_amount,settled_at
SET_0063,ORD_0063,440588,8811,7930,423847,2026-08-28T08:09:00
SET_0064,ORD_0064,332579,6651,5986,319942,2026-08-15T00:59:00
SET_0065,ORD_0065,441650,8833,7949,424868,2026-08-29T23:31:00
SET_0066,ORD_0066,274622,5492,4943,264187,2026-08-30T05:22:00
SET_0067,ORD_0067,259400,5188,4669,249543,2026-08-20T10:23:00
SET_0068,ORD_0068,164987,3299,2969,158719,2026-08-10T13:05:00
SET_0069,ORD_0069,329038,6580,5922,316536,2026-08-27T00:03:00
SET_0070,ORD_0070,109662,2193,1973,105496,2026-08-06T23:27:00
SET_0071,ORD_0071,119587,2391,2152,115044,2026-08-12T01:56:00
SET_0072,ORD_0072,391162,7823,7040,376299,2026-08-09T16:44:00
SET_0073,ORD_0073,477577,9551,8596,459430,2026-08-21T22:06:00
SET_0074,ORD_0078,340049,6800,6120,327129,2026-08-04T16:32:00
SET_0075,ORD_0079,406664,8133,7319,391212,2026-08-09T16:07:00
SET_0076,ORD_0080,407412,8148,7333,391931,2026-08-29T04:30:00
SET_0077,ORD_0081,443676,8873,7986,426817,2026-08-17T04:26:00
SET_0078,ORD_0082,452967,9059,8153,435755,2026-09-03T12:06:00
SET_0079,ORD_0083,171262,3425,3082,164755,2026-08-07T16:50:00
SET_0080,ORD_0084,101939,2038,1834,98067,2026-08-22T16:52:00
SET_0081,ORD_0085,33230,664,598,31968,2026-08-23T20:35:00
SET_0082,ORD_0086,36191,723,651,34817,2026-08-15T11:41:00
SET_0083,ORD_0087,265584,5311,4780,255493,2026-08-11T22:08:00
SET_0084,ORD_0088,316171,6323,5691,304157,2026-08-08T22:13:00
SET_0085,ORD_0089,377837,7556,6801,363480,2026-08-17T22:58:00
SET_0086,ORD_0090,491277,9825,8842,472610,2026-09-02T17:54:00
SET_0087,ORD_0091,316161,6323,5690,304148,2026-09-01T16:09:00
SET_0088,ORD_0092,154286,3085,2777,148424,2026-08-12T04:56:00
SET_0089,ORD_0093,246038,4920,4428,236690,2026-08-09T21:27:00
SET_0090,ORD_0094,332789,6655,5990,320144,2026-08-26T23:17:00
SET_0091,ORD_0095,50299,1005,905,48389,2026-08-30T09:12:00
SET_0092,ORD_0096,219951,4399,3959,211593,2026-08-25T15:41:00
SET_0093,ORD_0096,109975,2199,1979,105797,2026-08-25T21:41:00
SET_0094,ORD_0097,60211,1204,1083,57924,2026-08-08T19:11:00
SET_0095,ORD_0097,30105,602,541,28962,2026-08-09T01:11:00
SET_0096,ORD_0098,240306,4806,4325,231175,2026-08-17T23:53:00
SET_0097,ORD_0098,120153,2403,2162,115588,2026-08-18T05:53:00
SET_0098,ORD_0099,175541,3510,3159,168872,2026-08-06T22:16:00
SET_0099,ORD_0099,87770,1755,1579,84436,2026-08-07T04:16:00
SET_0100,ORD_0100,176286,3525,3173,169588,2026-08-30T09:42:00
